,acc_mean,acc_mean,acc_mean,acc_range,acc_range,acc_range
alpha,0.1,0.5,1.0,0.1,0.5,1.0
algorithm,,,,,,
Auror,96.220625,98.54333333333332,98.95479166666665,2.920624999999987,0.30333333333331325,0.2747916666666441
FedAvg,97.71479166666666,98.73208333333334,98.98791666666668,0.6247916666666526,0.19208333333332916,0.16791666666668448
FedProx,97.74041666666668,98.72145833333335,99.06104166666665,0.7304166666666845,0.2614583333333371,0.1710416666666532
Krum,81.75083333333333,95.94583333333334,97.74479166666667,15.08083333333333,3.9058333333333337,4.654791666666682
Median,96.39208333333333,98.71041666666667,98.98708333333333,2.0720833333333246,0.24041666666667538,0.06708333333332916
SCAFFOLD,96.02166666666668,98.476875,98.97437500000001,5.961666666666673,2.496875000000003,0.6443750000000108
TrimmedMean,96.21270833333334,98.71416666666667,99.015,2.0827083333333434,0.24416666666667197,0.14499999999999602
