algorithm,dataset,alpha,acc_mean,acc_range,f1_mean,f1_range
Auror,,0.1,96.220625,2.920624999999987,96.05208833103342,3.8966046635643607
Auror,,0.5,98.54333333333332,0.30333333333331325,98.53430677618368,0.3090813431673496
Auror,,1.0,98.95479166666665,0.2747916666666441,98.95029961785268,0.2750193797861158
FedAvg,,0.1,97.71479166666666,0.6247916666666526,97.6976876184604,0.6300111610473778
FedAvg,,0.5,98.73208333333334,0.19208333333332916,98.72350405847321,0.18769917024276594
FedAvg,,1.0,98.98791666666668,0.16791666666668448,98.98346478166268,0.16779972144369992
FedProx,,0.1,97.74041666666668,0.7304166666666845,97.72341478066551,0.6939118075209478
FedProx,,0.5,98.72145833333335,0.2614583333333371,98.71320399417974,0.25773811100442856
FedProx,,1.0,99.06104166666665,0.1710416666666532,99.0561598922652,0.1618444578200524
Krum,,0.1,81.75083333333333,15.08083333333333,76.86051427295641,15.175549174043027
Krum,,0.5,95.94583333333334,3.9058333333333337,95.90036838390616,3.986040860045165
Krum,,1.0,97.74479166666667,4.654791666666682,97.7251606563524,4.590832364823598
Median,,0.1,96.39208333333333,2.0720833333333246,96.25308869304162,2.387813326985281
Median,,0.5,98.71041666666667,0.24041666666667538,98.70073659746258,0.24691403008175428
Median,,1.0,98.98708333333333,0.06708333333332916,98.98211836685084,0.0663827549731053
SCAFFOLD,,0.1,96.02166666666668,5.961666666666673,95.8195043286152,7.343534271164231
SCAFFOLD,,0.5,98.476875,2.496875000000003,98.4689465657282,2.5792911952444513
SCAFFOLD,,1.0,98.97437500000001,0.6443750000000108,98.96730845577174,0.6514730019649022
TrimmedMean,,0.1,96.21270833333334,2.0827083333333434,96.04055506234403,2.5134900868479946
TrimmedMean,,0.5,98.71416666666667,0.24416666666667197,98.70355942876662,0.2517605643773493
TrimmedMean,,1.0,99.015,0.14499999999999602,99.01095082747302,0.14466578353489012
